table,before_rows,before_code_refs,now_status,now_rows,note
price_history,6,4,SURVIVED,6,survived-lowrefs
security_logs,4,8,SURVIVED,4,
security_events,3,16,SURVIVED,3,
activity_logs_unified,2,43,SURVIVED,2,
user_activity,2,12,SURVIVED,2,
event_log,1,21,SURVIVED,1,
system_logs,1,19,SURVIVED,1,
task_execution_logs,1,9,SURVIVED,1,
kpis,6,5,SURVIVED,6,
performance_metrics,6,12,SURVIVED,6,
employee_kpis,3,7,SURVIVED,3,
analytics_events,1,11,SURVIVED,1,
site_settings,45,22,SURVIVED,45,
settings,10,5,SURVIVED,10,
api_keys,11,22,SURVIVED,11,
password_reset_tokens,2,9,SURVIVED,2,
admin_role_menu_permissions,654,5,SURVIVED,654,
user_roles,5,16,SURVIVED,5,
admin_menu_items,182,5,SURVIVED,182,
document_types,10,9,SURVIVED,10,
generated_documents,7,8,SURVIVED,7,
document_categories,6,16,SURVIVED,6,
documents,6,14,SURVIVED,24,
legal_documents,6,7,SURVIVED,6,
document_templates,3,6,SURVIVED,3,
ocr_documents,3,5,SURVIVED,3,
workflow_steps,8595,5,SURVIVED,8730,
scheduled_tasks,3944,15,SURVIVED,4304,
tasks,5,41,SURVIVED,5,
workflow_definitions,3,4,SURVIVED,3,survived-lowrefs
workflow_instances,3,8,SURVIVED,3,
task_dependencies,2,4,SURVIVED,0,survived-lowrefs
async_tasks,1,31,SURVIVED,1,
workflows,1,0,SURVIVED,1,survived-0refs
badges,6,9,SURVIVED,6,
user_badges,1,13,SURVIVED,1,
training_courses,4,20,SURVIVED,4,
training_enrollments,3,14,SURVIVED,3,
user_course_enrollments,1,13,SURVIVED,1,
careers,11,14,SURVIVED,11,
saved_reports,3,3,SURVIVED,0,survived-lowrefs
cities,1120,13,SURVIVED,1120,
activities,300,4,SURVIVED,300,survived-lowrefs
properties,72,531,SURVIVED,72,
translations,20,14,SURVIVED,20,
chatbot_conversations,17,17,SURVIVED,17,
opportunities,10,23,SURVIVED,10,
tier_benefits,10,3,SURVIVED,10,survived-lowrefs
email_templates,8,14,SURVIVED,8,
inquiries,8,36,SURVIVED,8,
roles,7,11,SURVIVED,7,
conversation_participants,6,23,SURVIVED,6,
customer_favorites,6,11,SURVIVED,6,
sites,6,54,SURVIVED,6,
jobs,5,9,SURVIVED,5,
journal_entry_lines,5,11,SURVIVED,5,
service_interests,5,12,SURVIVED,5,
colonies,4,87,SURVIVED,4,
conversations,3,12,SURVIVED,3,
countries,3,2,SURVIVED,3,survived-lowrefs
favorites,3,22,SURVIVED,3,
